Model,Convenient Name,Path
mistralai/Mistral-7B-v0.1,Mistral0.1-7B,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--mistralai--Mistral-7B-v0.1/snapshots/7231864981174d9bee8c7687c24c8344414eae6b
mistralai/Mathstral-7B-v0.1,Mathstral0.1-7B,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--mistralai--Mathstral-7B-v0.1/snapshots/b6408c37979d6805935973ab06468089ff72ce95
mistralai/Mistral-7B-v0.3,Mistral0.3-7B,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--mistralai--Mistral-7B-v0.3/snapshots/d8cadc02ac76bd617a919d50b092e59d2d110aff
mistralai/Mistral-7B-Instruct-v0.3,Mistral0.3-7B-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--mistralai--Mistral-7B-Instruct-v0.3/snapshots/e0bc86c23ce5aae1db576c8cca6f06f1f73af2db
mistralai/Ministral-8B-Instruct-2410,Ministral2410-8B-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--mistralai--Ministral-8B-Instruct-2410/snapshots/4847e87e5975a573a2a190399ca62cd266c899ad
mistralai/Mistral-Large-Instruct-2411,Mistral2411-Large-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--mistralai--Mistral-Large-Instruct-2411/snapshots/3a5cb136f6106edf5c1210369068eb5a4f787cab
meta-llama/Llama-3.3-70B-Instruct,Llama3.3-70B-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--meta-llama--Llama-3.3-70B-Instruct/snapshots/5825c9120fc701a0b7d9a30d61005f2a09466b74
meta-llama/Llama-3.2-1B,Llama3.2-1B,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--meta-llama--Llama-3.2-1B/snapshots/4e20de362430cd3b72f300e6b0f18e50e7166e08
meta-llama/Llama-3.2-1B-Instruct,Llama3.2-1B-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6
meta-llama/Llama-3.2-3B,Llama3.2-3B,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--meta-llama--Llama-3.2-3B/snapshots/13afe5124825b4f3751f836b40dafda64c1ed062
meta-llama/Llama-3.2-3B-Instruct,Llama3.2-3B-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--meta-llama--Llama-3.2-3B-Instruct/snapshots/0cb88a4f764b7a12671c53f0838cd831a0843b95
meta-llama/Llama-3.1-8B,Llama3.1-8B,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--meta-llama--Llama-3.1-8B/snapshots/d04e592bb4f6aa9cfee91e2e20afa771667e1d4b
meta-llama/Llama-3.1-8B-Instruct,Llama3.1-8B-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--meta-llama--Llama-3.1-8B-Instruct/snapshots/0e9e39f249a16976918f6564b8830bc894c89659
meta-llama/Llama-3.1-70B,Llama3.1-70B,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--meta-llama--Llama-3.1-70B/snapshots/349b2ddb53ce8f2849a6c168a81980ab25258dac
meta-llama/Llama-3.1-70B-Instruct,Llama3.1-70B-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--meta-llama--Llama-3.1-70B-Instruct/snapshots/945c8663693130f8be2ee66210e062158b2a9693
meta-llama/Llama-3.1-405B-Instruct,Llama3.1-405B-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--meta-llama--Llama-3.1-405B-Instruct/snapshots/be673f326cab4cd22ccfef76109faf68e41aa5f1
meta-llama/Meta-Llama-3-8B,Llama3-8B,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--meta-llama--Meta-Llama-3-8B/snapshots/8cde5ca8380496c9a6cc7ef3a8b46a0372a1d920
meta-llama/Meta-Llama-3-8B-Instruct,Llama3-8B-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/5f0b02c75b57c5855da9ae460ce51323ea669d8a
meta-llama/Meta-Llama-3-70B,Llama3-70B,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--meta-llama--Meta-Llama-3-70B/snapshots/c82494877ce7f6d7d317c56ec081328e382c72fe
meta-llama/Meta-Llama-3-70B-Instruct,Llama3-70B-it,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--meta-llama--Meta-Llama-3-70B-Instruct/snapshots/05917295788658563fd7ef778b6240ad9867d6d1
meta-llama/Llama-2-7b-hf,Llama2-7B,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--meta-llama--Llama-2-7b-hf/snapshots/01c7f73d771dfac7d292323805ebc428287df4f9
meta-llama/Llama-2-7b-chat-hf,Llama2-Chat-7B,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--meta-llama--Llama-2-7b-chat-hf/snapshots/f5db02db724555f92da89c216ac04704f23d4590
meta-llama/Llama-2-13b-hf,Llama2-13B,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--meta-llama--Llama-2-13b-hf/snapshots/5c31dfb671ce7cfe2d7bb7c04375e44c55e815b1
meta-llama/Llama-2-13b-chat-hf,Llama2-Chat-13B,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--meta-llama--Llama-2-13b-chat-hf/snapshots/a2cb7a712bb6e5e736ca7f8cd98167f81a0b5bd8
meta-llama/Llama-2-70b-hf,Llama2-70B,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--meta-llama--Llama-2-70b-hf/snapshots/3aba440b59558f995867ba6e1f58f21d0336b5bb
meta-llama/Llama-2-70b-chat-hf,Llama2-Chat-70B,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--meta-llama--Llama-2-70b-chat-hf/snapshots/e9149a12809580e8602995856f8098ce973d1080
openai-community/gpt2,Gpt2,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--openai-community--gpt2/snapshots/607a30d783dfa663caf39e06633721c8d4cfcd7e
openai-community/gpt2-medium,Gpt2-Medium,/mnt/rds/VipinRDS/VipinRDS/users/mxh1029/llms/hub/models--openai-community--gpt2-medium/snapshots/6dcaa7a952f72f9298047fd5137cd6e4f05f41da
